,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
SMH,-,-,-,-,-,-,0.81%,-,-,-,-
PRDO,1.05,8.31,6.25,0.55,0.00,1.43,-,13.60%,12.60%,9.20%,1.60%
QQQN,-,-,-,-,-,-,0.93%,-,-,-,-
SLVO,-,-,-,-,-,-,17.50%,-,-,-,-
CHI,0.97,-,-,-,-,-4.05,11.43%,-,-,-,6.64%
VGAS,1.57,-,-,-,0.01,-0.17,-,-2.20%,-,67.20%,16.70%
BWV,0.67,-,-,-,0.00,-1.00,-,-64.20%,-,47.70%,17.30%
RACYU,,,,,,,,,,,
NCNO,2.99,-,50.96,-,0.08,-0.93,-,-9.90%,-8.80%,-168.90%,2.00%
BWMN,2.52,99.09,20.88,-,0.35,0.27,-,-,5.00%,-69.10%,15.90%
CYRX,1.67,-,-,-,0.76,-0.78,-,-6.90%,-3.60%,49.50%,1.93%
RCKY,0.69,11.53,5.67,1.15,1.03,1.73,3.10%,6.00%,8.20%,-105.50%,6.50%
EAST,-,-,1.53,-,-,-17.81,-,-398.90%,-98.60%,28.70%,2.90%
MSSA,,,,,,,,,,,
QCLR,,,,,,,,,,,
BRKHU,,,,,,,,,,,
OPHC,0.31,4.21,-,-,0.00,0.67,-,7.60%,17.60%,-8.40%,18.70%
GREEL,,,,,,,,,,,
HKIT,7.92,75.00,-,-,-,0.13,-,-,-,-3.10%,60.78%
CCCC,0.63,-,-,-,0.04,-2.68,-,-43.30%,-,-9.30%,0.20%
CD,1.17,20.04,-,-,0.77,0.25,-,6.20%,4.60%,4.80%,0.64%
MYNZ,5.32,-,-,-,0.10,-1.86,-,-252.40%,-171.00%,-,24.49%
DIST,0.32,342.00,-,-,0.00,0.03,-,-,-,-,29.32%
HMACU,,,,,,,,,,,
ONTX,1.05,-,-,-,0.00,-0.98,-,-67.00%,-,-39.70%,0.20%
ISRG,9.59,84.06,47.80,5.27,0.00,3.65,-,11.50%,11.90%,0.10%,0.51%
KOSS,1.14,4.37,-,-,0.00,0.90,-,30.10%,6.20%,-162.00%,60.68%
RUM,6.38,-,-,-,0.00,-0.17,-,-14.40%,-10.60%,-527.10%,6.00%
RGTI,0.99,-,-,-,0.21,-0.66,-,-,-61.40%,-20.70%,10.60%
ARYE,,,,,,,,,,,
MLAB,1.83,-,54.12,-,0.49,-0.28,0.48%,-1.00%,0.50%,121.40%,3.50%
COOL,28.86,-,-,-,0.00,-0.01,-,3.80%,-,-234.70%,-
MITK,2.55,68.31,11.11,4.55,0.72,0.15,-,4.30%,4.00%,-72.90%,2.20%
RGLD,2.85,33.53,33.26,4.76,0.18,3.61,1.24%,8.70%,7.60%,-2.80%,0.20%
GOGL,0.79,3.20,5.67,-,0.64,2.30,5.43%,-,13.80%,-,5.60%
NVDA,44.72,208.48,40.98,9.83,0.50,1.92,0.04%,25.50%,13.30%,-51.60%,0.40%
MGAM,1.37,-,-,-,0.00,-0.10,-,-29.50%,-,-672.80%,19.20%
ADXN,1.46,-,-,-,0.04,-2.50,-,-239.90%,-390.70%,74.40%,-
ZYXI,5.28,20.60,13.52,-,0.15,0.45,-,26.00%,23.00%,25.30%,40.40%
CFFE,5.36,-,-,-,0.42,-0.01,-,2.00%,-,-622.80%,6.49%
CLBT,27.20,9.07,27.08,0.27,-,0.63,-,-,1.50%,-,73.72%
VBOC,,,,,,,,,,,
GGAL,0.53,7.88,1.95,-,0.58,1.48,0.77%,-,7.90%,197.40%,53.40%
PLMR,2.92,22.07,12.33,1.04,0.18,2.14,-,14.30%,12.60%,21.20%,0.60%
STSS,0.96,-,-,-,0.00,-0.51,-,-46.10%,-,3.50%,0.60%
IMUX,0.83,-,-,-,0.00,-3.47,-,-113.10%,-,21.80%,0.10%
GNLN,0.06,-,-,-,0.10,-15.35,-,-98.60%,-114.20%,81.20%,0.60%
ACLX,6.73,-,-,-,0.17,-4.29,-,-71.10%,-,19.80%,15.44%
DOOO,10.84,9.30,7.34,-,-,7.90,-,-,-,74.50%,2.77%
ISRLU,1.24,-,-,-,0.00,-,-,-,-,-,-
GGAAU,,,,,,,,,,,
VYGR,2.19,5.11,-,-,0.00,2.29,-,-,-86.20%,625.10%,0.60%
GDEV,,,,,,,,,,,
CLLS,0.86,-,-,-,0.67,-1.93,-,-84.70%,-45.80%,11.90%,12.13%
CCAP,0.68,61.36,6.89,-,-,0.22,12.15%,-,-,-79.70%,12.42%
TSCO,12.38,22.16,18.62,2.41,0.86,9.72,1.91%,55.50%,34.50%,0.20%,0.10%
CUBA,0.80,-,-,-,-,-1.00,19.13%,-,-,99.20%,28.85%
CNGLU,,,,,,,,,,,
PECO,1.52,61.02,64.73,6.63,0.89,0.47,3.90%,2.50%,2.80%,59.20%,0.44%
MRVL,3.46,-,26.96,-,0.29,-0.20,0.38%,-0.90%,-0.10%,-347.00%,0.20%
NXPL,1.26,-,-,-,0.01,-0.95,-,-41.60%,-27.90%,11.20%,72.11%
IMVT,7.49,-,-,-,0.00,-1.71,-,-52.40%,-,-12.50%,59.50%
UNIY,,,,,,,,,,,
HPLTU,,,,,,,,,,,
BCRX,-,-,-,-,-,-1.21,-,83.90%,-34.50%,29.50%,0.80%
ISTB,-,-,-,-,-,-,2.34%,-,-,-,-
SASI,0.97,-,-,-,0.00,-0.79,-,-136.70%,-171.50%,22.00%,0.30%
ERIC,1.48,10.87,9.16,-,0.34,0.48,4.67%,13.00%,12.20%,-48.40%,0.90%
FLNC,7.06,-,233.33,-,0.00,-1.10,-,-24.70%,-66.40%,39.70%,66.90%
FSBC,,,,,,,,,,,
MSEX,3.51,39.31,30.12,14.56,0.93,2.04,1.56%,9.10%,5.80%,-51.90%,0.10%
IVEG,,,,,,,,,,,
ALKT,4.01,-,138.35,-,0.26,-0.68,-,-18.80%,-13.70%,-23.50%,3.60%
SBAC,-,64.85,38.53,4.42,-,3.42,1.53%,-7.00%,11.30%,-46.20%,0.40%
CAMT,3.25,18.10,15.91,2.87,0.48,1.63,-,21.20%,12.60%,-6.70%,62.70%
FRPH,1.24,114.61,-,-,0.44,0.47,-,1.10%,1.10%,-16.30%,0.20%
JUGGU,,,,,,,,,,,
SMPL,2.40,27.95,20.15,3.76,0.24,1.29,-,8.90%,8.70%,38.30%,1.80%
CLXT,11.06,-,-,-,0.37,-3.48,-,-205.10%,-306.40%,18.40%,1.10%
RVNC,-,-,-,-,-,-4.61,-,-,-87.30%,21.70%,1.10%
TTGT,4.85,33.07,18.76,-,2.17,1.07,-,16.10%,6.10%,-72.70%,1.80%
BITF,0.75,-,-,-,0.14,-1.62,-,-87.40%,-82.80%,-147.50%,7.12%
VONG,-,-,-,-,-,-,1.00%,-,-,-,-
KVHI,1.07,-,20.07,-,0.00,-0.05,-,19.40%,-3.50%,99.70%,3.40%
DORM,2.62,29.96,14.66,2.00,0.67,2.92,-,9.00%,7.70%,-83.80%,0.10%
SPRY,2.50,-,-,-,0.00,-0.71,-,-9.30%,-13.00%,77.40%,10.50%
SGH,3.47,60.53,9.62,-,2.52,0.38,-,6.10%,9.60%,-,3.40%
ROAD,3.33,69.66,29.05,1.89,0.93,0.42,-,4.80%,3.40%,41.80%,1.60%
GAIN,0.97,11.98,12.80,3.99,-,1.09,7.35%,-,-,-,2.21%
NVEC,6.30,18.64,-,0.75,0.00,4.70,4.57%,35.20%,31.70%,115.80%,1.76%
BHAC,,,,,,,,,,,
ASLE,1.92,20.45,12.92,-,0.00,0.82,-,10.20%,9.20%,-0.30%,21.55%
SDA,-,-,-,-,-,-0.30,-,-,-,-,-
IUSG,-,-,-,-,-,-,1.23%,-,-,-,-
BSMQ,-,-,-,-,-,-,2.15%,-,-,-,-
TDSA,-,-,-,-,-,-,1.84%,-,-,-,-
PAX,3.99,23.71,8.87,0.91,0.03,0.63,6.04%,17.10%,16.70%,234.80%,0.84%
QLGN,0.95,-,-,-,0.20,-4.38,-,-187.60%,-267.30%,-533.70%,0.50%
CYTO,-,-,-,-,-,-32.17,-,-326.70%,1068.50%,-95.60%,7.10%
SY,0.65,-,9.35,-,0.00,-0.01,-,-0.40%,-3.60%,81.60%,21.38%
PEPL,,,,,,,,,,,
ABSI,0.69,-,-,-,0.05,-1.08,-,-34.70%,-36.90%,21.90%,0.70%
NWTN,3.15,-,-,-,0.17,-0.70,-,-10.00%,-,-301.40%,4.07%
EVTV,0.45,-,-,-,0.00,-3.80,-,-11.90%,-10.40%,114.60%,17.61%
FTXR,-,-,-,-,-,-,2.09%,-,-,-,-
BLCN,-,-,-,-,-,-,1.31%,-,-,-,-
RWAYL,,,,,,,,,,,
SWVL,-,-,-,-,-,-50.35,-,-,939.20%,-,54.20%
FORR,2.51,41.34,13.24,5.17,0.00,0.71,-,6.30%,8.70%,-199.00%,0.60%
BTAI,10.24,-,-,-,1.79,-6.63,-,-177.70%,-94.00%,-64.00%,31.26%
CATY,0.87,5.93,6.62,0.74,0.06,5.16,4.44%,15.50%,23.20%,32.90%,0.60%
BKYI,0.94,-,-,-,0.28,-1.25,-,-60.50%,-,-138.70%,3.00%
CLRC,,,,,,,,,,,
VTIP,-,-,-,-,-,-,5.76%,-,-,-,-
CDNA,1.02,-,-,-,0.00,-1.51,-,-18.60%,-18.00%,-19.50%,2.30%
TFIN,1.59,15.41,21.90,1.28,0.00,3.46,-,10.40%,36.10%,-53.80%,3.70%
QDEL,1.15,47.29,14.99,6.57,0.52,1.83,-,2.40%,8.40%,-92.40%,0.90%
DRMA,0.19,-,-,-,0.00,-11.50,-,-116.10%,-,57.40%,2.00%
DUETU,,,,,,,,,,,
OBT,,,,,,,,,,,
HEES,3.25,9.41,7.88,0.30,3.08,3.99,2.93%,37.60%,11.00%,58.40%,7.90%
NTRA,8.09,-,-,-,0.56,-5.34,-,-101.00%,-50.80%,15.50%,1.50%
UONEK,1.02,7.49,-,-,0.00,0.78,-,16.10%,9.10%,-66.70%,27.70%
CTHR,0.58,-,-,-,0.00,-0.34,-,-18.40%,4.00%,-,10.30%
MTEX,1.69,-,-,-,0.14,-2.23,6.40%,-23.70%,-30.20%,394.40%,0.60%
BCBP,0.67,4.42,4.55,0.44,0.14,2.49,5.83%,-,32.30%,-17.40%,2.60%
SZZLU,,,,,,,,,,,
SOUN,-,-,-,-,-,-0.62,-,691.10%,-,-0.50%,3.10%
MBINO,,,,,,,,,,,
MHUA,0.49,10.94,-,-,0.05,0.27,-,5.70%,4.20%,-67.90%,66.56%
VIAV,3.30,55.16,16.35,3.68,1.18,0.18,-,6.30%,2.40%,-184.80%,1.10%
MLKN,0.75,16.06,7.73,0.54,1.01,0.89,5.26%,4.80%,1.00%,-96.80%,0.30%
ARGX,193.12,-,-,-,0.00,-9.26,-,-19.10%,-24.80%,88.10%,-
MBTCU,,,,,,,,,,,
TXN,10.50,19.81,21.83,1.98,0.66,8.91,2.81%,56.30%,38.00%,-21.00%,0.21%
NVIV,0.27,-,-,-,0.00,-5.98,-,-78.00%,-,56.00%,11.66%
FLFVU,,,,,,,,,,,
SVRE,-,-,-,-,-,-1.80,-,-,-,-,16.54%
WTFC,0.87,7.54,7.02,0.75,0.27,8.72,2.43%,12.20%,21.70%,35.10%,1.10%
SCLX,75.88,-,-,-,0.86,-0.31,-,-,-60.80%,26.90%,96.20%
FEMB,-,-,-,-,-,-,5.70%,-,-,-,-
FRBN,,,,,,,,,,,
AXLA,40.40,-,-,-,0.00,-1.12,-,-,-,88.30%,0.20%
UPTD,,,,,,,,,,,
RAYA,0.92,5.11,-,-,0.56,0.38,-,35.00%,12.10%,106.00%,67.27%
PRME,4.42,-,-,-,0.00,-1.58,-,-342.20%,-,-38.80%,25.60%
GBBK,1.28,188.91,-,-,0.00,0.06,-,0.90%,-,-,19.59%
BTCY,-,-,-,-,-,-0.40,-,237.40%,-161.10%,39.00%,17.14%
GLDD,1.17,-,10.21,-,1.02,-0.73,-,-12.50%,-2.70%,-129.30%,2.10%
NA,5.57,33.56,-,-,0.10,0.07,-,-,11.40%,-,-
LAB,-,-,-,-,-,-1.67,-,187.40%,683.00%,78.50%,0.20%
MLAC,-,-,-,-,-,-0.27,-,-4.80%,-,-172.30%,-
PUYI,1.49,-,-,-,0.00,-0.14,-,-,-28.20%,-,-
UTME,1.60,-,-,-,0.96,-0.76,-,-,-31.40%,-307.60%,54.64%
STRR,0.73,-,10.80,-,0.39,-0.20,-,-11.10%,-9.30%,99.10%,22.20%
PMD,2.72,-,-,-,0.05,-0.27,5.75%,-13.50%,-9.90%,-,9.90%
PEGY,0.53,-,-,-,0.56,-2.40,-,-96.90%,-25.70%,55.20%,16.60%
CNXC,1.61,11.23,6.79,1.21,0.79,7.87,1.25%,14.90%,9.60%,-19.70%,16.70%
AVT,0.89,4.95,7.92,0.48,0.67,9.09,2.58%,20.00%,13.70%,10.00%,0.60%
PKOH,0.69,13.28,4.24,1.02,2.52,1.14,3.30%,-,3.70%,99.40%,15.40%
CLBK,1.63,20.44,26.57,-,1.64,0.79,-,8.10%,21.70%,-9.50%,0.60%
NVDS,-,-,-,-,-,-,2.96%,-,-,-,-
VEDU,1.43,-,-,-,4.60,-0.09,-,-,3.70%,-404.30%,76.33%
VLCN,-,-,-,-,-,-1.35,-,-,-177.10%,24.90%,28.91%
AREB,0.25,-,5.60,-,0.22,-0.76,-,-50.30%,-53.70%,98.40%,4.18%
DISAU,,,,,,,,,,,
PLUS,1.79,11.98,10.12,2.40,0.05,4.15,-,-,-,-,0.90%
TGAN,,,,,,,,,,,
LRGE,-,-,-,-,-,-,0.14%,-,-,-,-
ESCA,1.01,15.32,-,1.02,0.61,0.76,5.17%,-,8.60%,-114.30%,0.20%
OLPX,2.60,10.99,10.22,-,0.82,0.29,-,27.00%,19.90%,-65.70%,0.10%
UBFO,0.96,5.61,-,-,0.10,1.13,6.92%,17.50%,30.70%,150.10%,8.00%
TCRT,4.06,-,-,-,0.37,-0.17,-,-108.30%,-63.40%,7.90%,1.40%
VXUS,-,-,-,-,-,-,2.95%,-,-,-,-
CDZI,5.34,-,-,-,0.60,-0.63,-,-83.40%,-19.90%,-18.20%,5.00%
SNRH,,,,,,,,,,,
REYN,3.07,25.08,17.09,14.76,1.14,1.06,3.45%,12.30%,8.40%,-67.30%,74.19%
SNES,0.54,-,-,-,0.00,-13.07,-,-216.10%,-182.50%,65.30%,0.65%
SELF,1.14,19.88,-,-,0.36,0.25,5.79%,5.70%,5.80%,239.20%,2.00%
GCT,1.45,18.78,-,-,0.02,0.36,-,8.20%,14.50%,-56.00%,52.32%
TYGO,2.58,-,-,-,0.01,-0.08,-,-0.70%,-,-777.20%,-
AEHR,13.91,69.53,33.54,3.48,0.00,0.49,-,25.00%,18.40%,80.90%,4.90%
CGABL,,,,,,,,,,,
GENE,2.06,-,-,-,0.06,-0.37,-,-50.90%,-43.80%,-40.50%,-
BSJU,,,,,,,,,,,
LATGU,,,,,,,,,,,
SLAB,3.27,60.13,28.51,16.70,0.37,2.41,-,5.50%,4.20%,-28.60%,0.70%
DOX,3.16,21.61,14.60,2.14,0.18,4.43,1.82%,14.90%,13.80%,-47.10%,4.80%
GHIXU,,,,,,,,,,,
QYLE,,,,,,,,,,,
ACLS,7.48,28.28,21.79,1.41,0.07,5.67,-,29.40%,26.70%,17.00%,2.30%
INMB,2.56,-,-,-,0.27,-1.50,-,-43.30%,-34.70%,5.70%,35.06%
MURF,,,,,,,,,,,
IPX,,,,,,,,,,,
KLIC,2.56,14.83,22.57,0.74,0.00,3.60,1.42%,17.90%,35.70%,-85.90%,3.10%
HIVE,1.37,-,-,-,0.26,-3.97,-,-124.70%,16.20%,-275.20%,0.16%
TSAT,0.18,-,-,-,0.00,-1.46,-,-,8.10%,-42.30%,6.55%
IPAR,6.24,29.43,26.18,2.45,0.29,4.36,1.95%,23.10%,19.00%,52.50%,43.45%
ENTFU,,,,,,,,,,,
PLTK,-,13.76,10.77,0.78,-,0.72,-,-84.90%,20.80%,14.20%,0.10%
RGLS,0.82,-,-,-,0.14,-1.83,-,-81.00%,-,7.90%,4.95%
VWOB,-,-,-,-,-,-,5.41%,-,-,-,-
EAC,8.12,78.72,-,-,0.00,0.13,-,3.30%,-,-115.90%,25.00%
LVLU,1.56,-,15.12,-,0.37,-0.10,-,-6.10%,5.00%,-369.10%,3.90%
HELE,1.59,16.55,9.69,2.07,0.63,5.95,-,10.10%,7.60%,-8.50%,0.20%
NTGR,0.66,-,16.17,-,0.00,-0.74,-,-3.50%,-11.30%,82.80%,2.70%
BLIN,0.55,-,-,-,0.04,-0.06,-,-3.30%,-9.00%,-122.80%,6.30%
LDEM,-,-,-,-,-,-,1.55%,-,-,-,-
WTMA,,,,,,,,,,,
ACBA,,,,,,,,,,,
IFV,-,-,-,-,-,-,2.91%,-,-,-,-
LNTH,13.24,-,14.19,-,1.25,-0.31,-,-3.40%,3.70%,-106.80%,1.60%
FORM,2.96,114.22,24.47,5.71,0.02,0.28,-,2.70%,5.80%,-95.40%,0.70%
GOCO,0.61,-,-,-,1.93,-16.61,-,-48.00%,-41.00%,41.20%,3.20%
PWUPU,,,,,,,,,,,
COWG,,,,,,,,,,,
PCRX,2.35,-,8.88,-,0.72,-0.28,-,-1.40%,4.30%,-389.20%,0.30%
CHNR,1.73,-,-,-,1.14,-0.42,-,-30.60%,-15.40%,-213.30%,72.40%
TDIV,-,-,-,-,-,-,2.09%,-,-,-,-
NECB,0.74,6.20,8.46,-,0.00,2.14,1.81%,12.50%,20.50%,226.90%,0.60%
DUNE,4.93,-,-,-,0.00,-0.16,-,50.50%,-,45.30%,7.60%
LEXX,0.87,-,-,-,0.00,-1.16,-,-97.40%,-93.50%,9.60%,5.20%
BRACU,,,,,,,,,,,
PHO,-,-,-,-,-,-,0.55%,-,-,-,-
PAGP,1.76,12.65,7.51,-,5.18,1.11,7.63%,14.10%,13.90%,213.60%,0.20%
PRCH,2.71,-,-,-,9.62,-1.95,-,-172.80%,-34.10%,-321.00%,11.60%
BRKR,8.74,33.47,24.20,1.37,1.04,2.10,0.28%,29.70%,13.60%,27.40%,26.40%
RMBI,0.88,9.53,-,-,0.01,1.18,4.98%,9.60%,28.60%,2.90%,0.40%
NYAX,,,,,,,,,,,
EMBC,-,16.96,12.21,-,-,1.61,2.19%,-11.10%,36.80%,-82.30%,0.80%
HOLI,0.80,9.45,9.64,0.60,0.03,1.68,2.01%,8.90%,4.80%,-27.50%,40.50%
RNDV,-,-,-,-,-,-,2.79%,-,-,-,-
AMEH,2.57,29.04,24.11,2.71,0.37,1.06,-,9.40%,6.20%,0.40%,3.50%
HILS,1.25,-,-,-,0.00,-0.76,-,-,-,-,25.50%
EDAP,5.16,-,-,-,0.08,-0.31,-,-16.30%,-6.40%,-,6.00%
LIFE,0.87,-,-,-,0.02,-1.45,-,-52.30%,-,34.70%,0.20%
BSMU,,,,,,,,,,,
KIDS,2.55,245.76,-,-,0.00,0.17,-,1.00%,-5.40%,35.60%,30.40%
FEXDU,,,,,,,,,,,
RXT,14.09,-,-,-,154.07,-6.50,-,-199.20%,-13.40%,-,4.40%
DKDCA,,,,,,,,,,,
DVOL,-,-,-,-,-,-,1.69%,-,-,-,-
PRCT,7.14,-,-,-,0.26,-2.20,-,-34.00%,-33.80%,-51.90%,0.30%
DYNT,0.31,-,-,-,0.19,-2.36,-,-38.30%,-29.90%,21.60%,21.50%
PBLA,1.06,-,-,-,2.08,-75.21,-,781.10%,-,94.00%,1.90%
LCAA,,,,,,,,,,,
WALD,,,,,,,,,,,
TPG,6.85,119.03,11.62,11.39,0.00,0.22,3.10%,-,-5.30%,-49.20%,11.36%
CALT,8.46,-,5.67,-,1.27,-1.36,-,-56.10%,-28.20%,11.60%,-
DOMH,0.20,-,-,-,0.00,-4.38,-,-30.00%,-,43.10%,9.00%
TYRA,2.39,-,-,-,0.00,-1.25,-,-19.90%,-,21.50%,1.30%
SVFD,0.64,-,-,-,0.00,-1.58,-,-109.70%,-100.30%,22.20%,32.43%
PLYA,2.09,25.67,14.96,-,1.58,0.35,-,8.20%,6.80%,5.00%,0.20%
ZFOX,0.24,-,-,-,0.36,-6.35,-,-452.70%,-112.30%,-72.10%,9.20%
ALPA,,,,,,,,,,,
CETY,14.06,-,-,-,0.65,-0.02,-,-,25.00%,-,64.90%
IREN,0.72,-,-,-,0.38,-5.55,-,-,-0.40%,-242.80%,23.97%
MOB,0.38,-,-,-,-,-0.09,-,-,-,-,-
APPH,0.21,-,-,-,1.07,-1.62,-,-58.50%,-32.10%,15.20%,0.60%
DHIL,2.90,11.25,-,-,0.00,14.44,3.69%,26.20%,30.70%,46.60%,0.60%
FNVT,,,,,,,,,,,
IPW,0.73,-,58.64,-,0.41,-0.35,-,-37.80%,3.60%,-222.20%,0.20%
KDP,1.74,33.41,16.18,5.38,0.52,0.93,2.58%,5.20%,5.50%,-19.60%,37.20%
CIGI,8.21,96.84,11.93,4.84,4.01,0.96,0.32%,9.20%,10.90%,-10.70%,11.00%
SLM,2.40,9.15,5.60,0.31,3.50,1.72,2.80%,27.50%,10.30%,3.40%,0.20%
ATSG,0.88,8.93,9.35,17.85,1.09,1.95,-,11.80%,7.70%,-55.40%,0.10%
BWB,0.74,5.27,6.44,0.35,0.28,1.71,-,15.10%,24.70%,-3.30%,16.30%
NZAC,-,-,-,-,-,-,1.65%,-,-,-,-
EFSC,1.01,7.45,7.76,0.83,0.10,5.54,2.42%,14.50%,26.00%,19.10%,2.00%
MEOAU,,,,,,,,,,,
RWOD,,,,,,,,,,,
GTIM,1.04,3.57,-,0.12,0.00,0.82,-,34.20%,-3.30%,620.70%,1.40%
GMAB,6.56,34.07,3.28,1.26,0.03,1.15,-,20.00%,17.30%,-51.30%,-
PSET,-,-,-,-,-,-,1.40%,-,-,-,-
INPX,0.37,-,-,-,1.95,-28.13,-,-250.90%,-123.70%,88.60%,0.88%
BSVO,-,-,-,-,-,-,2.40%,-,-,-,-
ACXP,6.24,-,-,-,0.00,-1.10,-,-158.10%,-,4.40%,18.70%
PPYAU,,,,,,,,,,,
TCPC,0.80,574.44,6.37,47.87,1.36,0.02,13.15%,0.10%,-,82.50%,0.29%
FMB,-,-,-,-,-,-,2.82%,-,-,-,-
MTRX,0.83,-,32.54,-,0.08,-1.42,-,-18.80%,-38.50%,64.00%,5.20%
SNCR,1.38,-,-,-,2.23,-0.29,-,-37.10%,1.00%,-137.80%,3.80%
SEDG,7.07,86.77,22.83,2.65,0.00,3.41,-,9.30%,2.90%,292.50%,0.60%
JBLU,0.66,-,6.10,-,1.06,-0.92,-,-8.60%,-3.10%,26.30%,0.20%
UTRS,0.57,-,-,-,1.16,-0.92,-,-133.30%,-54.70%,69.40%,1.40%
VRME,0.96,-,-,-,0.18,-1.75,-,-109.30%,-22.10%,12.80%,6.30%
CMPR,-,-,20.63,-,-,-9.36,-,14.10%,-1.00%,-357.20%,0.40%
VONV,-,-,-,-,-,-,2.75%,-,-,-,-
HIFS,1.10,12.77,-,-,0.00,15.53,1.27%,11.30%,17.90%,-28.00%,2.20%
FPAY,2.77,2.09,14.40,-,11.46,0.52,-,-,23.70%,59.70%,34.94%
GLBE,5.85,-,-,-,0.00,-1.16,-,-20.00%,-19.80%,23.70%,21.73%
RSVR,1.23,53.50,51.81,2.67,0.00,0.12,-,2.30%,2.50%,-474.50%,2.80%
CCB,1.79,10.17,6.18,-,0.00,3.45,-,19.70%,28.40%,96.90%,3.20%
GIII,0.58,-,5.94,-,0.45,-2.92,-,-8.70%,-5.30%,-667.20%,5.50%
FUSN,1.16,-,-,-,0.17,-1.99,-,-49.40%,-43.90%,2.10%,0.20%
EVLO,-,-,-,-,-,-1.13,-,-,-,59.00%,0.10%
QDRO,,,,,,,,,,,
SLVR,,,,,,,,,,,
SPRC,0.71,-,-,-,-,-0.58,-,-,-,-,3.27%
PARAA,,,,,,,,,,,
PVBC,0.64,-,12.98,-,0.00,-1.52,1.96%,-11.50%,11.80%,-60.80%,0.20%
REAL,-,-,-,-,-,-2.27,-,133.90%,-67.70%,-34.90%,2.30%
NVMI,,,,,,,,,,,
CVGW,,,,,,,,,,,
PFSW,,,,,,,,,,,
IMXI,,,,,,,,,,,
DDOG,,,,,,,,,,,
BOSC,,,,,,,,,,,
BBIO,,,,,,,,,,,
DGLY,,,,,,,,,,,
SEPAU,,,,,,,,,,,
MBWM,,,,,,,,,,,
WHLR,,,,,,,,,,,
SANM,,,,,,,,,,,
NXTG,,,,,,,,,,,
HBT,,,,,,,,,,,
RCMT,,,,,,,,,,,
HMPT,,,,,,,,,,,
CLPS,,,,,,,,,,,
DHCAU,,,,,,,,,,,
FGBI,,,,,,,,,,,
VVPR,,,,,,,,,,,
SLS,,,,,,,,,,,
STSA,,,,,,,,,,,
KFRC,,,,,,,,,,,
OXLCN,,,,,,,,,,,
SLDP,,,,,,,,,,,
SSIC,,,,,,,,,,,
MAXI,,,,,,,,,,,
LILA,,,,,,,,,,,
RXST,,,,,,,,,,,
MBRX,,,,,,,,,,,
TBMC,,,,,,,,,,,
LYFT,,,,,,,,,,,
LCAHU,,,,,,,,,,,
BLPH,,,,,,,,,,,
MMLP,,,,,,,,,,,
BGCP,,,,,,,,,,,
NXTP,,,,,,,,,,,
ASTC,,,,,,,,,,,
IPHA,,,,,,,,,,,
BCOW,,,,,,,,,,,
LYTS,,,,,,,,,,,
LCFY,,,,,,,,,,,
RWLK,,,,,,,,,,,
LMNR,,,,,,,,,,,
UEIC,,,,,,,,,,,
ICMB,,,,,,,,,,,
WSFS,,,,,,,,,,,
GRCY,,,,,,,,,,,
VRDN,,,,,,,,,,,
CLNN,,,,,,,,,,,
RMCF,,,,,,,,,,,
STXD,,,,,,,,,,,
XRTX,,,,,,,,,,,
JAKK,,,,,,,,,,,
QQQ,,,,,,,,,,,
EMBK,,,,,,,,,,,
SBGI,,,,,,,,,,,
CARE,,,,,,,,,,,
GNFT,,,,,,,,,,,
FCEL,,,,,,,,,,,
ALTI,,,,,,,,,,,
AIA,,,,,,,,,,,
JBHT,,,,,,,,,,,
TCBK,,,,,,,,,,,
LMFA,,,,,,,,,,,
ALVO,,,,,,,,,,,
CALB,,,,,,,,,,,
RTH,,,,,,,,,,,
TIL,,,,,,,,,,,
PFMT,,,,,,,,,,,
WEJO,,,,,,,,,,,
ADAP,,,,,,,,,,,
DALS,,,,,,,,,,,
AIXI,,,,,,,,,,,
LSCC,,,,,,,,,,,
MRCY,,,,,,,,,,,
STGW,,,,,,,,,,,
JUGG,,,,,,,,,,,
USAU,,,,,,,,,,,
FLIC,,,,,,,,,,,
LOPE,,,,,,,,,,,
GGAA,,,,,,,,,,,
XWEL,,,,,,,,,,,
ELEV,,,,,,,,,,,
UNAM,,,,,,,,,,,
AIMAU,,,,,,,,,,,
ASMB,,,,,,,,,,,
KEQU,,,,,,,,,,,
MTRYU,,,,,,,,,,,
XOS,,,,,,,,,,,
JSML,,,,,,,,,,,
AKBA,,,,,,,,,,,
AURC,,,,,,,,,,,
JMSB,,,,,,,,,,,
MOR,,,,,,,,,,,
OMIC,,,,,,,,,,,
UPC,,,,,,,,,,,
ARQT,,,,,,,,,,,
CAKE,,,,,,,,,,,
WWD,,,,,,,,,,,
THMO,,,,,,,,,,,
BANX,,,,,,,,,,,
CLINU,,,,,,,,,,,
RFEU,,,,,,,,,,,
LIQT,,,,,,,,,,,
LDSF,,,,,,,,,,,
EKG,,,,,,,,,,,
GFGF,,,,,,,,,,,
VBOCU,,,,,,,,,,,
OBIL,,,,,,,,,,,
JUPW,,,,,,,,,,,
GURE,,,,,,,,,,,
ETAO,,,,,,,,,,,
QAT,,,,,,,,,,,
IBET,,,,,,,,,,,
OMER,,,,,,,,,,,
CDTX,,,,,,,,,,,
PT,,,,,,,,,,,
XPEL,,,,,,,,,,,
QMCO,,,,,,,,,,,
